,srcid,iauname,sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_1_flux_err,sc_ep_2_flux,sc_ep_2_flux_err,sc_ep_3_flux,sc_ep_3_flux_err,sc_ep_4_flux,sc_ep_4_flux_err,sc_ep_5_flux,sc_ep_5_flux_err,sc_ep_8_flux,sc_ep_8_flux_err,sc_ep_9_flux,sc_ep_9_flux_err,sc_ep_8_fmin,sc_ep_8_fmin_err,sc_ep_8_fmax,sc_ep_8_fmax_err,sc_hr1,sc_hr1_err,sc_hr2,sc_hr2_err,sc_hr3,sc_hr3_err,sc_hr4,sc_hr4_err,sc_extent,sc_ext_ml,sc_chi2prob,sc_var_flag,sc_sum_flag,mjd_first,mjd_last,sc_fvar,sc_fvarerr,n_detections,confused,webpage_url
29626,207474001310001,3XMM J011248.6-001724,18.202586366724397,-0.29019097041051095,0.427597,3214.38,5.583480000000001e-14,3.5100099999999996e-15,1.2065e-13,5.31063e-15,1.28806e-13,5.64938e-15,1.03051e-13,9.04615e-15,2.0826799999999999e-13,4.08827e-14,6.22692e-13,4.27866e-14,4.1774799999999997e-13,1.2208299999999999e-14,6.07508e-13,8.88788e-14,6.272720000000001e-13,4.88154e-14,0.332879,0.0335636,-0.00470678,0.030574900000000002,-0.56045,0.033367,-0.37695500000000004,0.0899201,0.0,0.0,0.312320023775101,f,1,56857.9292708333,56858.7272337963,0.101938515901566,0.14952278137207,2,f,http://xmm-catalog.irap.omp.eu/source/207474001310001/
33026,207474101310017,3XMM J012116.8-003240,20.32037474149,-0.5447210367312499,2.59001,17.7267,7.78509e-16,1.06689e-15,6.67453e-15,2.4760999999999997e-15,8.72629e-15,3.28331e-15,0.0,2.02496e-15,0.0,1.48428e-14,1.5362200000000002e-14,1.57279e-14,2.04788e-14,5.84267e-15,1.5362200000000002e-14,1.57279e-14,1.5362200000000002e-14,1.57279e-14,0.883444,0.203849,-0.015895199999999998,0.254846,-1.0,0.16145,,,0.0,0.0,,,0,57045.39274305559,57045.4522569444,,,1,f,http://xmm-catalog.irap.omp.eu/source/207474101310017/
69597,206553806010001,3XMM J023301.2+002514,38.255093816674,0.42071112138085,0.606596,1317.86,4.1191e-14,3.0563600000000002e-15,4.35879e-14,3.0204e-15,2.56897e-14,2.3443000000000002e-15,1.47084e-14,3.4596899999999996e-15,9.14967e-14,1.71896e-14,2.17319e-13,1.82384e-14,1.0178e-13,5.59224e-15,2.17319e-13,1.82384e-14,2.17319e-13,1.82384e-14,0.056472900000000006,0.0503792,-0.231192,0.053932799999999996,-0.654057,0.0712083,0.167011,0.14207999999999998,0.0,0.0,0.37178042531013505,f,0,55401.408912037004,55401.6683796296,0.17428049445152302,0.188427194952965,1,f,http://xmm-catalog.irap.omp.eu/source/206553806010001/
198069,207252901480021,3XMM J090145.3+003124,135.43875740851,0.52335114797322,2.72388,7.354239999999999,0.0,6.48799e-16,3.63999e-15,2.16698e-15,6.59021e-15,3.04705e-15,4.19988e-15,4.931e-15,0.0,4.14819e-14,2.40748e-14,4.25861e-14,2.3467099999999998e-14,6.613209999999999e-15,2.40748e-14,4.25861e-14,2.40748e-14,4.25861e-14,1.0,0.235121,0.12415699999999999,0.292517,-0.556081,0.27879299999999996,-1.0,1.4340899999999999,0.0,0.0,,,0,56417.9023958333,56417.9342708333,,,1,f,http://xmm-catalog.irap.omp.eu/source/207252901480021/
200911,207607401010008,3XMM J090828.6+285437,137.11940920391,28.91045735628,1.2867899999999999,68.9527,8.295819999999999e-16,7.38955e-16,8.47952e-15,1.7011500000000002e-15,6.20192e-15,1.6170300000000002e-15,7.81802e-15,3.46668e-15,6.10447e-17,7.472800000000001e-15,2.4448199999999998e-14,8.70101e-15,2.6570599999999997e-14,3.85877e-15,2.4448199999999998e-14,8.70101e-15,2.4448199999999998e-14,8.70101e-15,0.8176760000000001,0.155443,-0.14360499999999998,0.147006,-0.44476899999999997,0.19364800000000001,-0.996028,0.442673,0.0,0.0,,,0,57310.667013888895,57310.8455439815,,,1,f,http://xmm-catalog.irap.omp.eu/source/207607401010008/
202918,206731504010092,3XMM J091458.2+295038,138.74284752386,29.843988895071,2.33548,8.58181,2.6779e-16,2.85624e-16,6.68657e-16,3.5247000000000004e-16,1.9268100000000002e-15,6.054240000000001e-16,4.24365e-16,1.02026e-15,1.05466e-15,5.38994e-15,5.0875100000000005e-15,5.595130000000001e-15,3.90258e-15,1.07765e-15,5.0875100000000005e-15,5.595130000000001e-15,5.0875100000000005e-15,5.595130000000001e-15,0.0576977,0.345179,0.314658,0.224881,-0.745238,0.317644,0.888066,0.45881000000000005,0.0,0.0,,,0,55851.9284375,55852.3832175926,,,1,f,http://xmm-catalog.irap.omp.eu/source/206731504010092/
202924,206731504010012,3XMM J091459.6+294349,138.74871293985,29.730374655573,0.7988069999999999,387.764,4.8244599999999995e-15,8.70225e-16,1.9029300000000002e-14,1.6658000000000002e-15,1.07886e-14,1.54338e-15,1.0893700000000001e-14,3.14729e-15,5.9876000000000005e-15,1.07555e-14,5.4538e-14,1.15963e-14,4.43615e-14,3.54854e-15,5.4538e-14,1.15963e-14,5.4538e-14,1.15963e-14,0.549479,0.0692538,-0.386121,0.0711445,-0.42196000000000006,0.11988900000000001,-0.783274,0.343602,0.0,0.0,0.121105097234249,f,0,55851.9284375,55852.3832175926,0.22763776779174802,0.129156723618507,1,f,http://xmm-catalog.irap.omp.eu/source/206731504010012/
204960,206731802010023,3XMM J091955.1+005642,139.97967328043,0.9451086487170699,0.967189,95.182,1.7000599999999999e-15,4.730280000000001e-16,4.50935e-15,7.863910000000001e-16,5.2501100000000004e-15,9.341519999999998e-16,4.51544e-15,1.91311e-15,3.16175e-16,3.36424e-15,1.45947e-14,4.24641e-15,1.6018e-14,1.96837e-15,1.45947e-14,4.24641e-15,1.45947e-14,4.24641e-15,0.421863,0.133641,-0.04154190000000001,0.12099000000000001,-0.510456,0.160563,-0.9476100000000001,0.397262,0.0,0.0,,,0,56044.2599768518,56044.5741435185,,,1,f,http://xmm-catalog.irap.omp.eu/source/206731802010023/
211266,202012903010020,3XMM J094434.6+040009,146.14437608403,4.002698458656,0.829053,90.0379,2.5353699999999997e-16,1.99557e-16,1.8764e-15,4.4351900000000004e-16,3.783400000000001e-15,6.559510000000001e-16,5.29461e-15,1.37e-15,2.94837e-15,2.74067e-15,1.59067e-14,3.39061e-15,1.1158400000000001e-14,1.3308400000000001e-15,1.59067e-14,3.39061e-15,1.59067e-14,3.39061e-15,0.734546,0.139844,0.31095100000000003,0.124464,-0.324875,0.133737,-0.735487,0.176483,0.0,0.0,,,1,53143.6185416667,53144.033067129596,,,1,f,http://xmm-catalog.irap.omp.eu/source/202012903010020/
214936,202064301010095,3XMM J095621.7-001503,149.09075175712,-0.2509659449502,1.77617,11.1565,2.16146e-16,2.08684e-16,1.38507e-15,4.60858e-16,9.73604e-16,4.4122699999999997e-16,4.53232e-17,3.91019e-16,0.0,2.6421800000000003e-15,3.25189e-15,2.80991e-15,3.2129899999999998e-15,9.4692e-16,3.25189e-15,2.80991e-15,3.25189e-15,2.80991e-15,0.468398,0.22821799999999998,-0.159433,0.25049899999999997,-0.983742,0.189279,-1.0,6.45381,0.0,0.0,,,0,53352.300428240706,53352.5844097222,,,1,f,http://xmm-catalog.irap.omp.eu/source/202064301010095/
