,srcid,iauname,sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_1_flux_err,sc_ep_2_flux,sc_ep_2_flux_err,sc_ep_3_flux,sc_ep_3_flux_err,sc_ep_4_flux,sc_ep_4_flux_err,sc_ep_5_flux,sc_ep_5_flux_err,sc_ep_8_flux,sc_ep_8_flux_err,sc_ep_9_flux,sc_ep_9_flux_err,sc_ep_8_fmin,sc_ep_8_fmin_err,sc_ep_8_fmax,sc_ep_8_fmax_err,sc_hr1,sc_hr1_err,sc_hr2,sc_hr2_err,sc_hr3,sc_hr3_err,sc_hr4,sc_hr4_err,sc_extent,sc_ext_ml,sc_chi2prob,sc_var_flag,sc_sum_flag,mjd_first,mjd_last,sc_fvar,sc_fvarerr,n_detections,confused,webpage_url
29626,207474000000000.0,3XMM J011248.6-001724,18.20258637,-0.29019097,0.427597,3214.38,5.58e-14,3.5100000000000002e-15,1.21e-13,5.31e-15,1.29e-13,5.65e-15,1.0300000000000002e-13,9.05e-15,2.08e-13,4.09e-14,6.23e-13,4.28e-14,4.18e-13,1.22e-14,6.08e-13,8.89e-14,6.270000000000001e-13,4.88e-14,0.332879,0.0335636,-0.00470678,0.030574900000000002,-0.56045,0.033367,-0.37695500000000004,0.0899201,0.0,0.0,0.312320024,f,1,56857.92927000001,56858.72723,0.10193851599999999,0.149522781,2,f,http://xmm-catalog.irap.omp.eu/source/207474001310001/
33026,207474000000000.0,3XMM J012116.8-003240,20.32037474,-0.5447210370000001,2.59001,17.7267,7.79e-16,1.0699999999999998e-15,6.67e-15,2.48e-15,8.73e-15,3.2799999999999997e-15,0.0,2.02e-15,0.0,1.48e-14,1.54e-14,1.57e-14,2.05e-14,5.84e-15,1.54e-14,1.57e-14,1.54e-14,1.57e-14,0.883444,0.203849,-0.015895199999999998,0.254846,-1.0,0.16145,,,0.0,0.0,,,0,57045.392739999996,57045.452260000005,,,1,f,http://xmm-catalog.irap.omp.eu/source/207474101310017/
69597,206554000000000.0,3XMM J023301.2+002514,38.25509382,0.420711121,0.606596,1317.86,4.12e-14,3.06e-15,4.36e-14,3.0199999999999998e-15,2.57e-14,2.3399999999999998e-15,1.47e-14,3.4600000000000002e-15,9.15e-14,1.72e-14,2.1699999999999998e-13,1.82e-14,1.02e-13,5.59e-15,2.1699999999999998e-13,1.82e-14,2.1699999999999998e-13,1.82e-14,0.056472900000000006,0.0503792,-0.231192,0.053932799999999996,-0.654057,0.0712083,0.167011,0.14207999999999998,0.0,0.0,0.371780425,f,0,55401.408910000006,55401.668379999996,0.17428049399999998,0.188427195,1,f,http://xmm-catalog.irap.omp.eu/source/206553806010001/
198069,207253000000000.0,3XMM J090145.3+003124,135.43875740000001,0.5233511479999999,2.72388,7.354239999999999,0.0,6.49e-16,3.64e-15,2.1699999999999998e-15,6.59e-15,3.05e-15,4.2e-15,4.93e-15,0.0,4.15e-14,2.41e-14,4.26e-14,2.35e-14,6.61e-15,2.41e-14,4.26e-14,2.41e-14,4.26e-14,1.0,0.235121,0.12415699999999999,0.292517,-0.556081,0.27879299999999996,-1.0,1.4340899999999999,0.0,0.0,,,0,56417.9024,56417.934270000005,,,1,f,http://xmm-catalog.irap.omp.eu/source/207252901480021/
200911,207607000000000.0,3XMM J090828.6+285437,137.1194092,28.91045736,1.2867899999999999,68.9527,8.300000000000001e-16,7.39e-16,8.479999999999999e-15,1.7e-15,6.2e-15,1.6199999999999999e-15,7.82e-15,3.4700000000000004e-15,6.099999999999999e-17,7.47e-15,2.44e-14,8.7e-15,2.66e-14,3.8600000000000004e-15,2.44e-14,8.7e-15,2.44e-14,8.7e-15,0.8176760000000001,0.155443,-0.14360499999999998,0.147006,-0.44476899999999997,0.19364800000000001,-0.996028,0.442673,0.0,0.0,,,0,57310.667010000005,57310.845539999995,,,1,f,http://xmm-catalog.irap.omp.eu/source/207607401010008/
202918,206732000000000.0,3XMM J091458.2+295038,138.7428475,29.843988899999996,2.33548,8.58181,2.68e-16,2.8599999999999996e-16,6.69e-16,3.52e-16,1.9300000000000002e-15,6.05e-16,4.2400000000000004e-16,1.02e-15,1.05e-15,5.39e-15,5.0899999999999995e-15,5.6e-15,3.9e-15,1.08e-15,5.0899999999999995e-15,5.6e-15,5.0899999999999995e-15,5.6e-15,0.0576977,0.345179,0.314658,0.224881,-0.745238,0.317644,0.888066,0.45881000000000005,0.0,0.0,,,0,55851.928439999996,55852.38322,,,1,f,http://xmm-catalog.irap.omp.eu/source/206731504010092/
202924,206732000000000.0,3XMM J091459.6+294349,138.7487129,29.73037466,0.7988069999999999,387.764,4.82e-15,8.699999999999999e-16,1.9e-14,1.67e-15,1.08e-14,1.54e-15,1.09e-14,3.15e-15,5.99e-15,1.08e-14,5.45e-14,1.16e-14,4.44e-14,3.55e-15,5.45e-14,1.16e-14,5.45e-14,1.16e-14,0.549479,0.0692538,-0.386121,0.0711445,-0.42196000000000006,0.11988900000000001,-0.783274,0.343602,0.0,0.0,0.121105097,f,0,55851.928439999996,55852.38322,0.22763776800000002,0.129156724,1,f,http://xmm-catalog.irap.omp.eu/source/206731504010012/
204960,206732000000000.0,3XMM J091955.1+005642,139.9796733,0.945108649,0.967189,95.182,1.7e-15,4.73e-16,4.51e-15,7.860000000000001e-16,5.25e-15,9.34e-16,4.52e-15,1.9100000000000003e-15,3.16e-16,3.36e-15,1.46e-14,4.25e-15,1.6e-14,1.97e-15,1.46e-14,4.25e-15,1.46e-14,4.25e-15,0.421863,0.133641,-0.04154190000000001,0.12099000000000001,-0.510456,0.160563,-0.9476100000000001,0.397262,0.0,0.0,,,0,56044.259979999995,56044.57414,,,1,f,http://xmm-catalog.irap.omp.eu/source/206731802010023/
207761,204024000000000.0,3XMM J092720.5+362407,141.8354379,36.402100700000005,0.89681,88.1224,4.92e-16,1.8999999999999998e-16,1.03e-15,2.84e-16,2.89e-15,4.99e-16,6.4400000000000005e-15,1.28e-15,4.1e-15,4.69e-15,1.52e-14,4.93e-15,8.6e-15,1.01e-15,1.52e-14,4.93e-15,1.52e-14,4.93e-15,0.273658,0.17272300000000002,0.40869,0.133008,-0.14219400000000001,0.127911,-0.625689,0.259389,0.0,0.0,,,0,54062.46905,54062.86301,,,1,f,http://xmm-catalog.irap.omp.eu/source/204023701010068/
211266,202013000000000.0,3XMM J094434.6+040009,146.1443761,4.002698458999999,0.829053,90.0379,2.54e-16,2e-16,1.88e-15,4.44e-16,3.78e-15,6.56e-16,5.2899999999999996e-15,1.37e-15,2.95e-15,2.74e-15,1.59e-14,3.39e-15,1.12e-14,1.3300000000000001e-15,1.59e-14,3.39e-15,1.59e-14,3.39e-15,0.734546,0.139844,0.31095100000000003,0.124464,-0.324875,0.133737,-0.735487,0.176483,0.0,0.0,,,1,53143.618539999996,53144.03307,,,1,f,http://xmm-catalog.irap.omp.eu/source/202012903010020/
214936,202064000000000.0,3XMM J095621.7-001503,149.09075180000002,-0.250965945,1.77617,11.1565,2.16e-16,2.09e-16,1.3900000000000001e-15,4.61e-16,9.74e-16,4.41e-16,4.53e-17,3.91e-16,0.0,2.64e-15,3.25e-15,2.8100000000000003e-15,3.21e-15,9.47e-16,3.25e-15,2.8100000000000003e-15,3.25e-15,2.8100000000000003e-15,0.468398,0.22821799999999998,-0.159433,0.25049899999999997,-0.983742,0.189279,-1.0,6.45381,0.0,0.0,,,0,53352.30043,53352.58441,,,1,f,http://xmm-catalog.irap.omp.eu/source/202064301010095/
218414,207629000000000.0,3XMM J100207.0+030327,150.5293207,3.057695895,0.25531,8229.09,1.23e-14,9.060000000000001e-16,1.86e-14,1.14e-15,4.75e-14,1.87e-15,2.29e-13,6.88e-15,6.289999999999999e-13,2.43e-14,9.379999999999998e-13,2.54e-14,2.04e-13,4.55e-15,9.379999999999998e-13,2.54e-14,9.379999999999998e-13,2.54e-14,0.148805,0.046025699999999996,0.39453499999999997,0.030750599999999996,0.260236,0.023074900000000002,-0.203441,0.023317400000000002,0.0,0.0,0.016438859,f,0,57147.69394,57147.96061,0.160387874,0.045842119,1,f,http://xmm-catalog.irap.omp.eu/source/207629202010001/
223774,202027000000000.0,3XMM J102220.1+213412,155.5838363,21.57024144,0.916998,1853.27,5.77e-15,6.57e-16,2.54e-14,1.15e-15,2.39e-14,1.22e-15,4.45e-14,2.89e-15,1.13e-13,1.07e-14,2.1399999999999997e-13,1.13e-14,9.27e-14,2.79e-15,2.1399999999999997e-13,1.13e-14,2.1399999999999997e-13,1.13e-14,0.6026560000000001,0.0380768,-0.10809400000000001,0.0333477,-0.215088,0.039305400000000004,-0.211414,0.0537836,13.2572,513.068,0.261737496,f,0,53155.4638,53155.89222,0.144263119,0.13239435900000002,1,f,http://xmm-catalog.irap.omp.eu/source/202027301010006/
230166,200385000000000.0,3XMM J104028.3+091057,160.118254,9.182695897999999,0.6398510000000001,367.05800000000005,2.27e-15,3.98e-16,5.89e-15,6.25e-16,5.720000000000001e-15,6.59e-16,9.32e-16,6.089999999999999e-16,4.65e-15,3.0199999999999998e-15,2.31e-14,3.35e-15,1.83e-14,1.42e-15,2.2e-14,8.11e-15,2.33e-14,3.68e-15,0.396,0.0730988,-0.134188,0.0723985,-0.8418610000000001,0.0669163,-0.42456800000000006,0.21560300000000002,0.0,0.0,0.330379665,f,0,52238.19957,53350.11987,0.129075244,0.29502368,2,f,http://xmm-catalog.irap.omp.eu/source/200385404010006/
236212,206934000000000.0,3XMM J105225.9+103250,163.1083245,10.54745013,0.740214,621.543,4.31e-15,5.24e-16,1.22e-14,8.49e-16,4e-15,5.849999999999999e-16,1.29e-15,7.75e-16,4.26e-15,3.36e-15,2.71e-14,3.7299999999999995e-15,2.45e-14,1.58e-15,2.71e-14,3.7299999999999995e-15,2.71e-14,3.7299999999999995e-15,0.48276800000000003,0.0533929,-0.570267,0.05427959999999999,-0.756438,0.10220499999999999,-0.41275600000000007,0.277452,0.0,0.0,,,1,56252.78189,56253.071710000004,,,1,f,http://xmm-catalog.irap.omp.eu/source/206934304010007/
237488,202005000000000.0,3XMM J105650.9+065420,164.2121842,6.905714165,0.534621,112.95700000000001,1.19e-15,2.0699999999999999e-16,4.63e-15,3.57e-16,4.93e-15,4.18e-16,4e-15,7.49e-16,4.7700000000000006e-15,3.2e-15,2.16e-14,3.44e-15,1.74e-14,9.08e-16,1.5e-14,5.6200000000000006e-15,5.89e-14,1.92e-14,0.571168,0.0582866,0.0592528,0.0506459,-0.551412,0.057957600000000005,-0.397154,0.16126,8.242180000000001,14.597000000000001,,,0,53144.94662,53879.09804,,,6,f,http://xmm-catalog.irap.omp.eu/source/202005302010033/
245513,202019000000000.0,3XMM J111845.4+212826,169.6894542,21.47399062,0.754548,24.3694,4.0499999999999997e-16,2.0499999999999998e-16,6.56e-16,1.8999999999999998e-16,1.94e-15,3.2400000000000004e-16,1.28e-15,5.22e-16,7.98e-15,5.12e-15,1.38e-14,5.1899999999999995e-15,5.68e-15,6.69e-16,6.13e-15,8.32e-15,1.9e-14,9.04e-15,0.335426,0.192237,0.481066,0.10556900000000001,-0.49081099999999994,0.124546,-0.10326400000000001,0.29273000000000005,0.0,0.0,,,0,53356.113,54821.223139999995,,,3,f,http://xmm-catalog.irap.omp.eu/source/202019401010074/
249355,207226000000000.0,3XMM J112844.7+171337,172.186271,17.22704382,2.2140299999999997,8.09065,1.28e-16,1.57e-16,2.27e-16,1.93e-16,1.1299999999999999e-16,1.41e-16,3.0899999999999997e-15,1.09e-15,1.14e-15,2.3e-15,6.53e-15,2.89e-15,2.9899999999999997e-15,7.71e-16,5.129999999999999e-15,3.13e-15,1.45e-14,7.48e-15,0.911784,0.23109899999999997,0.139693,0.249833,0.697036,0.136124,0.169823,0.199554,0.0,0.0,,,0,56449.224989999995,56454.03729,,,2,f,http://xmm-catalog.irap.omp.eu/source/207225703010088/
251722,207411000000000.0,3XMM J113536.3+155831,173.9015424,15.97545058,0.493354,110.455,5.070000000000001e-16,1.2e-16,2.04e-15,2.15e-16,3.4600000000000002e-15,2.9900000000000003e-16,2.55e-15,5.01e-16,4.05e-15,2.43e-15,1.61e-14,2.7e-15,1.08e-14,6.269999999999999e-16,1.26e-14,4.07e-15,3e-14,8.51e-15,0.5350199999999999,0.07408150000000001,0.231775,0.0576355,-0.615788,0.0559379,0.0897757,0.127729,0.0,0.0,,,0,56802.54105,56836.74077999999,,,5,f,http://xmm-catalog.irap.omp.eu/source/207411402010044/
252230,206908000000000.0,3XMM J113628.2+194841,174.11756699999998,19.81148215,1.6544900000000002,25.7916,8.300000000000001e-16,5.440000000000001e-16,3.7299999999999995e-15,9.89e-16,2.82e-15,1.05e-15,1.92e-16,8.130000000000001e-16,2.96e-14,1.96e-14,3.97e-14,1.97e-14,9.13e-15,2.15e-15,3.97e-14,1.97e-14,3.97e-14,1.97e-14,0.5868899999999999,0.21439299999999997,-0.260027,0.204599,-0.911126,0.198219,0.979482,0.134189,0.0,0.0,,,0,56098.24772000001,56098.50284,,,1,f,http://xmm-catalog.irap.omp.eu/source/206907802010056/
