eco+res_name,radeg,dedeg,agn_name,agn_ra,agn_dec,separation
rf0013,4.9472732000000015,0.59081703,MCG 0-02-002             ,4.947237,0.5907640000000001,0.23114359440802115
rf0016,5.114721,0.83361606,NGC 78B                  ,5.114637,0.8335540000000001,0.3759536065931226
rf0138,18.20249,-0.2901077,NGC 426                  ,18.202526000000002,-0.290187,0.3135196320453992
rf0166,20.319466,-0.54432577,UGC 892                  ,20.319166,-0.544491,1.2329294574516003
rf0190,21.371424,-0.057265138,NPM 1G-00.0054           ,21.371375,-0.057334,0.30425799159586153
rf0248,23.902695,0.014879905,MCG 0-05-013             ,23.902726,0.014918,0.17681201124853274
rf0295,30.551711,-0.10087834,NGC 799                  ,30.551406,-0.100629,1.4182133539562354
rf0315,33.410021,-0.71724638,NGC 856                  ,33.409831,-0.717287,0.6994043756588836
rf0324,36.505279,1.0180874,CGCG 388-13              ,36.505206,1.0180850000000001,0.26290052485391385
rf0372,38.255238,0.42092388,UGC 2024                 ,38.255195,0.420814,0.4247773412849945
rf0375,38.381614,1.1400209,IC 237                   ,38.381539000000004,1.139897,0.5213663086233385
rf0377,38.465215,1.1371926,CGCG 388-52              ,38.465144,1.137147,0.3037336560284853
rf0397,42.211789,-0.76733683,IC 1856                  ,42.211657,-0.7673909999999999,0.5136187471350533
ECO02120,130.095,23.5394,NGC 2628                 ,130.09460900000002,23.539672,1.6199183712066814
ECO07199,130.607,37.2208,NGC 2638                 ,130.607365,37.221026,1.3254410013147562
ECO03054,137.16,32.5931,MCG 6-20-032             ,137.160239,32.592954,0.8953987526452561
ECO03263,138.21200000000002,30.2122,IC 2444                  ,138.21191399999998,30.212283000000003,0.40107656217908744
ECO03318,138.415,29.9928,NGC 2783                 ,138.41446499999998,29.992960999999998,1.7659111848133209
ECO03407,138.643,30.1406,UGC 4869                 ,138.643056,30.14085,0.9167307940295302
ECO03691,139.923,33.7383,NGC 2830                 ,139.922531,33.738149,1.5056049496332704
ECO04109,141.309,17.5989,UGC 5012                 ,141.308642,17.599054000000002,1.3477834527267265
ECO04175,141.666,45.8475,UGC 5026                 ,141.665823,45.847204,1.1543445913107016
ECO04531,143.672,32.0683,MCG 5-23-017             ,143.672131,32.068301,0.3996575025229517
ECO04965,144.628,2.5733,UGC 5138                 ,144.627776,2.573265,0.8153809864530329
ECO05374,145.83,36.2481,NGC 2965                 ,145.8298,36.247820000000004,1.1632818000421965
ECO06026,147.18200000000004,44.0811,NGC 2998                 ,147.181802,44.081438,1.3201476536793986
ECO11902,147.638,44.3143,UGC 5273                 ,147.63814299999999,44.314383,0.4743017389855629
ECO06532,148.665,37.4086,IC 2515                  ,148.664241,37.408592,2.1706005690566386
ECO02755,149.164,13.9992,PGC 1446437              ,149.16411200000002,13.999157,0.42073715712786974
ECO06851,149.667,28.8775,NGC 3068                 ,149.66706200000002,28.87756,0.29129903454156997
ECO07024,150.188,4.7344,UGC 5383                 ,150.188367,4.734322,1.3463011819268638
ECO07102,150.53,3.0578,SDSS J100207.03+030327.6 ,150.529332,3.057682,2.438660069579857
ECO07210,151.02200000000005,31.1856,NGC 3106                 ,151.021881,31.185459,0.626079607523309
ECO05444,151.221,44.6361,MCG 8-18-064             ,151.220907,44.636134999999996,0.26950581659231665
ECO05451,151.513,3.1098,CGCG 36-37               ,151.512999,3.109804,0.014841895375966524
ECO07570,152.048,42.4186,UGC 5462                 ,152.048176,42.418686,0.5609266682475434
ECO07935,153.497,38.6572,NGC 3161                 ,153.49662800000002,38.657206,1.0460005932465666
ECO08202,154.733,13.1575,CGCG 64-106              ,154.73351499999998,13.157467,1.8092335515814824
ECO08368,155.465,0.41,CGCG 9-9                 ,155.464971,0.41010699999999994,0.3990962813133932
ECO08423,155.602,3.9975,UGC 5607                 ,155.60171599999998,3.997347,1.1591387050485629
ECO08523,156.036,13.5728,UGC 5627                 ,156.036227,13.572923000000001,0.9094544435484869
ECO05508,157.81799999999996,19.3831,UGC 5709                 ,157.81768,19.383012,1.1319414000247647
ECO05515,159.04399999999995,26.9537,SDSS J103610.64+265713.3 ,159.044347,26.953716999999997,1.1151837482449753
ECO09295,159.8,-0.4103,IC 632                   ,159.799126,-0.409475,4.326687683915894
ECO09518,160.686,26.8436,MCG 5-25-034             ,160.685971,26.843581,0.11556601990514176
ECO11504,161.243,26.0915,PGC 1762237              ,161.24281100000002,26.091432,0.6582738551894324
ECO09824,161.774,7.2381,CGCG 38-11               ,161.774139,7.237842,1.053135714846809
ECO09934,162.034,18.1886,IC 642                   ,162.033858,18.188695000000003,0.5939924671080343
ECO10236,162.86,8.2986,NGC 3427                 ,162.859693,8.298691999999999,1.1426788372994794
