eco+res_name,radeg,dedeg,agn_name,agn_ra,agn_dec,separation
rf0013,4.9472732000000015,0.59081703,SDSS J00197+0035 ,4.947083,0.5908329999999999,0.6870931206246645
rf0022,5.4409059,0.5576055999999999,SDSS J00217+0033 ,5.4408330000000005,0.5575,0.4619414003034982
rf0127,17.747235999999994,0.4337019,SDSS J01109+0026 ,17.747083,0.43361099999999997,0.6406631552772327
rf0138,18.20249,-0.2901077,SDSS J01128-0017 ,18.2025,-0.29,0.38938767980849404
rf0248,23.902695,0.014879905,SDSS J01356+0000 ,23.9025,0.015,0.8244534986674537
rf0315,33.410021,-0.71724638,SDSS J02136-0043 ,33.409583000000005,-0.7169439999999999,1.9159564431511789
rf0324,36.505279,1.0180874,SDSS J02260+0101 ,36.505417,1.0180559999999998,0.5094215986680308
rf0325,36.528168,-0.33172171,NGC  926         ,36.528333,-0.331667,0.6257921707783414
rf0363,38.197825,0.67806565,MARK 1047        ,38.197917,0.678056,0.3329939119914972
rf0372,38.255238,0.42092388,UGC  2024        ,38.255,0.42055600000000004,1.5773450016252473
rf0377,38.465215,1.1371926,SDSS J02338+0108 ,38.465,1.136944,1.1831286862007078
ECO07636,133.69299999999998,39.5389,MARK  391        ,133.693333,39.538610999999996,1.3918140604968297
ECO09628,134.71,6.2931,MARK  703        ,134.710833,6.2925,3.681081353247407
ECO03054,137.16,32.5931,SDSS J09086+3235 ,137.16,32.592778,1.159200000021034
ECO04477,143.442,10.1528,NGC 2911         ,143.442083,10.1525,1.119333428646914
ECO05374,145.83,36.2481,NGC 2965         ,145.829583,36.247778000000004,1.6761438432913778
ECO11902,147.638,44.3143,SDSS J09505+4418 ,147.63833300000002,44.314167,0.9823488465017705
ECO07102,150.53,3.0578,SDSS J10021+0303 ,150.529167,3.0575,3.183333915477604
ECO09184,159.25,18.1358,NGC 3303A        ,159.250417,18.135556,1.675363014493926
ECO09143,162.06799999999996,33.2675,CG  782          ,162.067917,33.2675,0.24983225256379787
ECO11313,165.639,-0.29100000000000004,SDSS J11025-0017 ,165.63875,-0.290833,1.0823218366615046
ECO08863,174.821,28.663,SDSS J11392+2839 ,174.821667,28.663056,2.1165699325125438
ECO02918,174.985,16.955,MARK  745        ,174.98458300000001,16.954722,1.750300873564967
ECO02923,175.058,24.6969,NGC 3798         ,175.057917,24.696944000000002,0.3143023244147346
ECO02961,175.57,14.0667,SDSS J11422+1403 ,175.570417,14.066667,1.4610222781872282
ECO03034,176.27,19.6061,NGC 3862         ,176.270833,19.606667,3.485215314752675
ECO03048,176.37599999999995,9.7292,SDSS J11455+0943 ,176.37625,9.728889,1.4284161693285153
ECO03204,179.40400000000002,32.2775,NGC 3994         ,179.402917,32.278056,3.8564352083044677
ECO10168,181.105,1.6473,SDSS J12044+0138 ,181.10458300000002,1.6472220000000002,1.526626291473483
ECO12414,182.569,39.3047,RXS J12102+3918  ,182.569167,39.304444000000004,1.0323564227475293
ECO09447,182.682,37.7138,Q 1208+3759      ,182.681667,37.713889,1.0010034749122574
ECO03410,182.706,39.4731,NGC 4156         ,182.707083,39.472778000000005,3.2251080115027233
ECO03494,184.61,29.8131,MARK  766        ,184.61041699999998,29.813056,1.3121153753892698
ECO03610,187.845,29.1364,NGC 4495         ,187.845417,29.136389,1.3118406735069117
ECO06053,190.223,1.0083,SDSS J12408+0100 ,190.223333,1.008333,1.2044873772003954
ECO10626,191.398,28.7618,KISSR  112       ,191.397083,28.761944,2.9399862277180504
ECO06095,192.245,40.5959,SDSS J12489+4035 ,192.245,40.595833,0.24120000002631078
ECO06865,193.074,27.0855,IRAS F12498+2721 ,193.07375,27.085556,0.8262664983483473
ECO12188,195.607,28.8581,KUV 13000+2908   ,195.60625,28.858611,2.99598794828712
ECO03917,197.209,-0.8175,SDSS J13088-0049 ,197.20875,-0.817222,1.3458959132320332
ECO03918,197.23,-0.8017,SDSS J13089-0048 ,197.230417,-0.801667,1.50574689324248
ECO04145,203.02,17.0489,SDSS J13320+1702 ,203.02,17.048889000000003,0.039599999984828826
ECO06360,203.712,4.2368,TOL 1332+044     ,203.7125,4.236667,1.857839028039494
ECO04185,203.852,1.4106,SDSS J13354+0124 ,203.8525,1.4102780000000001,2.140509667889245
ECO04190,203.951,2.9992,SDSS J13358+0259 ,203.95083300000002,2.998889,1.2704157677074288
ECO04191,203.99400000000003,1.7297,SDSS J13359+0143 ,203.994167,1.7297220000000002,0.6061227331883542
ECO06378,204.769,2.1638,SDSS J13390+0209 ,204.76916699999998,2.163611,0.9076730644853853
ECO04285,206.788,3.6439,Zw 045.099       ,206.788333,3.643889,1.197031623362801
ECO04290,206.824,34.1489,MARK  461        ,206.82375,34.148889000000004,0.7458754036419356
ECO04314,207.65,33.705,NGC 5318         ,207.65,33.704722,1.0007999999993944
ECO04408,209.657,37.4256,NGC 5395         ,209.658333,37.424444,5.642903362473761
ECO04560,212.673,13.5581,NPM1G+13.0367    ,212.6725,13.558056,1.7569937828622482
ECO09726,216.62,43.471,CG  430          ,216.620833,43.470556,2.7002197710448868
ECO04755,218.166,36.3022,NGC 5675         ,218.16625,36.3025,1.3009534266809943
ECO04776,219.342,36.5678,MARK  686        ,219.342083,36.567778000000004,0.25271325653439014
ECO04888,226.723,12.8589,NGC 5851         ,226.722917,12.858611,1.0804127399410106
ECO04983,233.739,23.5031,IC 4553          ,233.73875,23.503332999999998,1.176758903839042
ECO05006,234.66,36.9583,MCG +06.34.024   ,234.660417,36.958333,1.2054369400598035
ECO05040,236.569,2.4156,NGC 5990         ,236.56875,2.415556,0.9130452781883872
