ID,RA,DEC,ZBEST
1,51.00088,-27.11589,0.0426
2,51.00279,-27.30072,0.125875
3,51.00292,-27.77436,0.084739
4,51.00342,-27.33564,0.075759
5,51.00554,-28.86317,0.108505
6,51.00921,-28.94483,0.107367
7,51.01346,-26.94558,0.203351
8,51.02013,-28.49486,0.135834
9,51.02021,-29.08484,0.190828
10,51.02242,-28.55697,0.159463
11,51.023,-29.93775,0.118815
12,51.02392,-27.10664,0.0667
13,51.02712,-28.61178,0.135828
14,51.0285,-27.65769,0.0839
15,51.02921,-27.29167,0.126434
16,51.03583,-28.55058,0.158356
17,51.04333,-26.52225,0.042026
18,51.044,-26.51192,0.0427
19,51.04937,-27.88308,0.109284
20,51.05071,-27.7512,0.084685
21,51.05366,-27.75196,0.084478
22,51.0545,-29.46447,0.136858
23,51.05692,-27.16317,0.0772
24,51.05808,-29.80294,0.1315
25,51.05913,-29.23567,0.148356
26,51.06283,-27.33247,0.0772
27,51.06612,-27.80569,0.070426
28,51.06658,-27.11547,0.078401
29,51.07388,-29.92972,0.119581
30,51.07462,-28.75967,0.000385
31,51.07713,-26.83244,0.155716
32,51.07971,-27.44947,0.066822
33,51.08467,-28.79642,0.107179
34,51.08583,-28.83844,0.111597
35,51.10371,-29.14714,0.059161
36,51.10775,-26.87228,0.155861
37,51.113,-29.09328,0.19027
38,51.11625,-28.14953,2.6e-05
39,51.11671,-27.27589,0.067074
40,51.11796,-28.62444,0.127059
41,51.12529,-28.15578,0.063086
42,51.13162,-27.82303,0.08446
43,51.13558,-27.43636,0.0663
44,51.139,-27.95892,0.177506
45,51.14046,-27.88558,0.0905
46,51.14388,-27.90442,0.0906
47,51.14783,-29.39567,0.255864
48,51.14846,-27.48617,0.1412
49,51.15092,-27.35586,0.151489
50,51.15431,-27.16533,0.078074
51,51.16421,-29.46456,0.066866
52,51.16529,-26.88936,0.175448
53,51.18071,-27.18717,0.078703
54,51.18104,-26.63458,0.1738
55,51.18337,-28.6765,0.106085
56,51.18456,-29.3059,4.63
57,51.18746,-28.14186,0.150014
58,51.194,-29.37167,0.000432
59,51.19579,-26.52911,0.064441
60,51.19783,-26.6855,0.0436
61,51.19862,-29.38261,0.000507
62,51.19987,-28.65811,0.000795
63,51.20171,-28.04867,0.17644
64,51.203,-29.21378,0.15008
65,51.20475,-28.49839,0.060935
66,51.21008,-29.28392,0.109164
67,51.21446,-29.72819,0.2224
68,51.2155,-28.82361,0.083408
69,51.21637,-28.03489,0.076163
70,51.21983,-26.74308,0.0686
71,51.22021,-28.71444,0.105901
72,51.22025,-27.43342,0.141038
73,51.22171,-26.6865,0.1019
74,51.22342,-29.26008,0.191131
75,51.2235,-27.36553,0.152177
76,51.22501,-29.25561,0.190395
77,51.22508,-27.35442,0.152558
78,51.22542,-28.73383,0.149211
79,51.22679,-28.11367,0.081535
80,51.23017,-27.37962,0.152168
81,51.23054,-26.82764,0.146929
82,51.231,-29.28139,0.19059
83,51.23233,-29.12806,0.000686
84,51.24367,-28.20081,0.088902
85,51.25308,-28.92431,0.110899
86,51.25413,-29.32611,0.119681
87,51.25517,-28.49086,0.060745
88,51.25929,-27.40775,0.152148
89,51.26429,-26.82675,0.044884
90,51.26567,-28.98467,0.043774
91,51.26575,-27.04919,0.2031
92,51.26846,-29.323,0.089462
93,51.27125,-28.47556,0.128072
94,51.2735,-27.66161,0.069
95,51.28054,-27.36764,0.102718
96,51.28154,-27.51128,0.15279
97,51.28287,-27.53233,0.1014
98,51.28408,-27.22583,0.077906
99,51.28546,-29.35542,0.118869
100,51.29075,-27.41417,0.151948
101,51.294,-29.45619,0.089218
102,51.29537,-28.65656,0.081427
103,51.29725,-29.22697,0.170004
104,51.29904,-27.95031,0.084329
105,51.29917,-29.47153,0.089465
106,51.30321,-28.46636,0.121781
107,51.30983,-26.94761,0.202902
108,51.31242,-28.27089,0.071
109,51.31825,-28.94128,0.161144
110,51.31838,-28.76569,0.110122
111,51.31858,-26.73911,0.1194
112,51.32042,-29.31219,0.08987
113,51.32317,-26.56183,0.0432
114,51.32696,-26.99156,0.17498
115,51.33163,-29.90653,0.108418
116,51.33738,-29.75925,0.0585
117,51.33846,-29.87675,0.1478
118,51.33863,-27.37097,0.2292
119,51.33908,-27.44981,0.129992
120,51.34196,-27.45322,0.1304
121,51.34208,-27.70386,0.074829
122,51.34383,-29.91058,0.1088
123,51.34658,-29.89056,0.1073
124,51.34658,-29.91975,0.10917
125,51.34842,-27.26797,0.0246
126,51.34896,-27.66022,0.143016
127,51.35017,-27.81519,0.142706
128,51.3505,-26.51606,0.1933
129,51.352,-27.68697,0.075337
130,51.35746,-28.5885,0.159857
131,51.366,-27.69506,0.075945
132,51.36629,-27.31281,0.131745
133,51.36896,-27.04592,0.160624
134,51.37192,-27.78989,0.045153
135,51.372,-26.78767,0.0005
136,51.37479,-29.8525,0.148365
137,51.37504,-27.65339,0.1415
138,51.37533,-29.32822,0.15061
139,51.37921,-27.50319,0.093895
140,51.38157,-27.6622,0.142498
141,51.38346,-28.65914,0.0677
142,51.38446,-27.59283,0.135761
143,51.38725,-26.65142,0.2147
144,51.38729,-28.52286,0.159402
145,51.38946,-28.41539,0.128038
146,51.39275,-26.7805,0.1746
147,51.40046,-28.47258,0.127156
148,51.40062,-28.027,0.084008
149,51.40163,-27.65017,0.142772
150,51.40208,-27.68528,0.1423
151,51.405,-29.74558,0.0666
152,51.40883,-28.55225,0.159027
153,51.4166,-28.46433,0.127628
154,51.41667,-27.71711,0.162126
155,51.41796,-27.98653,0.261487
156,51.41917,-28.99083,0.064734
157,51.42508,-28.82281,0.109575
158,51.42646,-26.52439,0.0449
159,51.42762,-28.16975,0.0545
160,51.42983,-28.218,0.108471
161,51.43092,-26.76408,0.1741
162,51.43333,-28.47106,0.127566
163,51.43442,-28.44775,0.083487
164,51.43487,-26.77289,0.102
165,51.4425,-27.74408,0.1262
166,51.443,-28.49731,0.127399
167,51.443,-28.15522,0.05365
168,51.44308,-27.03503,0.149718
169,51.44419,-28.94344,0.066129
170,51.44987,-29.65089,0.1474
171,51.451,-26.72031,0.1484
172,51.456,-27.40811,0.154753
173,51.46454,-28.93083,0.066209
174,51.465,-28.73953,0.060452
175,51.46538,-29.18461,0.135985
176,51.46783,-27.02567,0.15058
177,51.46983,-29.67608,0.148481
178,51.47067,-28.21064,0.229509
179,51.47158,-28.95033,0.066276
180,51.47237,-27.61725,0.0448
181,51.47463,-29.57314,0.136288
182,51.47517,-29.20367,0.252065
183,51.48262,-29.14125,0.172746
184,51.48342,-28.95231,0.066203
185,51.48708,-28.06978,0.088301
186,51.48837,-26.55,0.0816
187,51.48904,-28.67239,0.10955
188,51.489625,-28.0290277777778,0.13229000568389893
189,51.4897916666667,-27.9558333333333,1.1318199634552002
190,51.49083,-29.65011,0.148283
191,51.49767,-27.36258,0.131175
192,51.49796,-27.37706,0.229964
193,51.49912,-28.69981,0.106114
194,51.5027,-29.55694,0.044644
