#sdss_objids,ra ,dec,nii/ha,oiii/hb
,,,,
1.23766E+18,1.171825,0.119798,-0.090336,0.6410423
,,,,
1.23768E+18,5.721582,1.265708,-0.4960292,-0.735141
,,,,
1.23766E+18,11.019462,1.031333,0.0159655,0.6024035
,,,,
1.23765E+18,13.302866,-8.802706,-0.1841217,0.0289934
,,,,
1.23765E+18,13.374656,-8.767788,-0.1582368,0.8846287
,,,,
1.23766E+18,13.870178,0.581282,-0.3052086,-0.3435322
,,,,
1.23766E+18,14.087481,-1.176635,-0.0442374,-0.0006562
,,,,
1.23766E+18,14.095168,-1.209748,0.0424627,0.2524435
,,,,
1.23768E+18,14.106606,-1.262474,-0.1614514,-0.0925059
,,,,
1.23766E+18,14.237088,-1.21183,-0.3472503,-0.5697365
,,,,
1.23767E+18,16.877012,14.206061,-0.1148721,0.3803202
,,,,
1.23766E+18,17.463932,0.04618,-0.236861,0.5573238
,,,,
1.23767E+18,17.513188,13.978117,-0.0572869,-0.0096934
,,,,
1.23766E+18,18.157969,0.086316,0.1652659,0.6629704
,,,,
1.23766E+18,18.202533,-0.290186,0.2907279,0.2092436
,,,,
1.23765E+18,24.318654,-8.564771,-0.3400488,0.0737731
,,,,
1.23766E+18,28.284555,1.030749,-0.1237251,-0.0365701
,,,,
1.23768E+18,28.313523,1.039092,0.2464827,0.3966584
,,,,
1.23765E+18,35.960623,-8.397103,-0.188047,0.1100528
,,,,
1.23766E+18,36.843283,0.610814,-0.2766227,-0.0583748
,,,,
1.23766E+18,36.907969,0.506363,-0.2968635,-0.3499259
,,,,
1.23766E+18,37.337297,0.593825,0.2293804,0.1331199
,,,,
1.23766E+18,37.379388,0.589676,0.121975,0.1289763
,,,,
1.23767E+18,37.823537,-7.582218,-0.2244268,0.1030026
,,,,
1.23765E+18,40.471315,-8.206297,0.0280797,0.112793
,,,,
1.23766E+18,45.954639,-1.103732,-0.3023397,0.9679762
,,,,
1.23766E+18,49.179073,41.324907,-0.0312276,-0.2165543
,,,,
1.23766E+18,49.249011,41.356596,0.0429096,-0.1786928
,,,,
1.23766E+18,49.462871,41.450812,-0.0472846,0.0084845
,,,,
1.23766E+18,49.575015,41.675328,-0.2861831,-0.4019987
,,,,
1.23766E+18,50.240836,41.506344,-0.0052746,-0.0540409
,,,,
1.23766E+18,50.241298,41.893855,-0.2321416,-0.1864652
,,,,
1.23766E+18,50.251707,41.562451,-0.2802566,-0.0605508
,,,,
1.23766E+18,50.336818,41.46005,-0.2348294,0.0261371
,,,,
1.23766E+18,50.46454,41.797261,-0.2728191,-0.122934
,,,,
1.23765E+18,54.107627,-6.80986,0.0141027,0.0811761
,,,,
1.23766E+18,114.1302,43.799132,-0.3167605,-0.1038347
,,,,
1.23766E+18,117.0471,18.496173,-0.1463431,-0.0500152
,,,,
1.23767E+18,119.12673,41.03624,0.1010926,0.0597969
,,,,
1.23765E+18,120.84038,39.41584,-0.2587642,0.3361744
,,,,
1.23766E+18,121.12144,23.912266,0.1279228,0.8226826
,,,,
1.23766E+18,121.23152,24.190118,-0.4222367,-0.0121472
,,,,
1.23767E+18,121.6367,15.262222,0.0453495,0.1674391
,,,,
1.23766E+18,126.12095,38.016333,-0.486445,-0.3036007
,,,,
1.23766E+18,126.13889,38.003656,-0.5183133,-0.3721251
,,,,
1.23766E+18,126.18036,29.989878,-0.4300266,0.9712843
,,,,
1.23766E+18,126.23036,29.941365,-0.3302047,-0.6566254
,,,,
1.23766E+18,126.23489,37.889233,-0.3463384,-0.2100112
,,,,
1.23766E+18,127.58177,26.869447,-0.0542471,0.3043104
,,,,
1.23767E+18,128.58804,14.356497,-0.1425713,0.2126292
,,,,
1.23766E+18,129.95383,32.53141,-0.3122539,0.1002916
,,,,
1.23766E+18,130.24226,38.550084,-0.4154658,-0.3558462
,,,,
1.23765E+18,130.40782,54.918507,-0.0715716,0.8104919
,,,,
1.23766E+18,131.21096,43.04681,0.0317884,0.0612546
,,,,
1.23766E+18,131.23597,42.976577,-0.137826,-0.0049738
,,,,
1.23766E+18,135.12932,39.246997,-0.3164334,-0.171724
,,,,
1.23767E+18,135.15356,20.894552,-0.1163554,0.7740299
,,,,
1.23767E+18,135.22118,20.914806,-0.8061776,-0.0006509
,,,,
1.23766E+18,135.49332,60.151709,-0.3808369,0.1497931
,,,,
1.23766E+18,137.87486,45.468319,-0.1397402,0.7062722
,,,,
1.23765E+18,137.93873,52.890539,-0.0963494,0.724588
,,,,
1.23765E+18,138.74869,4.530019,-0.2000922,0.2360293
,,,,
1.23766E+18,139.15225,30.297038,-0.144768,0.4339346
,,,,
1.23766E+18,139.28444,29.371014,-0.1175324,0.5328051
,,,,
1.23766E+18,139.29971,30.449223,0.0057024,0.5561395
,,,,
1.23766E+18,139.59814,30.543191,0.0167346,0.0027736
,,,,
1.23765E+18,139.92978,1.252122,-0.3559791,0.2700801
,,,,
1.23765E+18,139.97995,0.945119,-0.1042358,0.201252
,,,,
1.23765E+18,140.00904,1.038274,-0.1629599,-0.2327834
,,,,
1.23766E+18,140.54896,6.516504,0.0498567,0.8975368
,,,,
1.23766E+18,140.59633,50.774698,-0.7498148,0.0904189
,,,,
1.23766E+18,140.62559,29.857463,-0.2435407,-0.0278707
,,,,
1.23766E+18,141.97012,29.985752,-0.3325723,-0.0639029
,,,,
1.23767E+18,144.97419,15.022868,0.1810281,0.7882872
,,,,
1.23765E+18,145.19237,3.412781,0.1743165,0.136942
,,,,
1.23765E+18,145.19287,3.658386,-0.0888862,0.6487224
,,,,
1.23765E+18,146.14355,4.001557,-0.9590572,0.3145837
,,,,
1.23766E+18,146.35316,9.92671,-0.3933132,-0.3333823
,,,,
1.23766E+18,146.41835,9.797095,-0.3831761,-0.2936759
,,,,
1.23767E+18,148.80789,17.617718,-0.4668934,-0.4794712
,,,,
1.23765E+18,149.30007,-0.424285,-0.1278573,0.1434059
,,,,
1.23767E+18,149.34197,27.216808,-0.1863074,0.0029536
,,,,
1.23765E+18,149.71827,2.856738,0.0005437,0.0138578
,,,,
1.23765E+18,149.92842,2.592101,-0.1011254,0.0722952
,,,,
1.23765E+18,149.93832,2.577588,-0.046025,-0.0237702
,,,,
1.23765E+18,149.94541,2.923599,-0.2890833,-0.3463488
,,,,
1.23765E+18,149.99849,2.769107,0.1119787,-0.4275815
,,,,
1.23765E+18,150.03976,1.615315,-0.0931782,0.1927284
,,,,
1.23765E+18,150.06567,2.929334,-0.0495193,0.2374587
,,,,
1.23765E+18,150.37261,1.609364,-0.1417802,0.4318933
,,,,
1.23765E+18,150.45143,1.561052,0.1087142,0.1701187
,,,,
1.23766E+18,150.65226,32.706758,-0.0558929,0.2024364
,,,,
1.23766E+18,150.77107,33.047261,-0.2928558,-0.0877928
,,,,
1.23766E+18,150.86637,55.698314,-0.1014152,1.0240201
,,,,
1.23766E+18,153.10164,53.34124,-0.1096431,-0.271313
,,,,
1.23766E+18,153.19415,6.267974,-0.21333,-0.0665857
,,,,
1.23767E+18,154.43013,21.849771,-0.068018,0.5575996
,,,,
1.23765E+18,154.45268,-0.030765,-0.4364379,0.1013631
,,,,
1.23766E+18,154.48708,39.091103,-0.3202721,0.5437774
,,,,
