name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
1.23767E+18,9.106119,2.499408,4.634401,2.522467,1.818966,2.136609,7.80456,2.648631,15.4558,2.953012,-3.790222,1.997134,19.67982,3.222719,1.455555,2.215447,11.1023,2.335313,0.2838359,2.402658,4.193765,1.774758,7.711679,0.77943,20.12705,3.230987,23.2602,2.350939,8.557035,1.946849,8.648044,2.474274,-0.943185,2.537445,14.12639,3.60926,12.33703,2.930068,0,0,31.27153,52.18171,22.2575,95.3371,4.103832,8.760031,11.41216,8.81107,37.68576,11.61034,0,0,6.561224,5.914344,23.465,9.680151,68.01629,12.27658,12.39307,3.206883,35.40878,9.162523,0,0,21.67109,8.83951,18.07732,2.557163,32.67434,8.827527,53.16858,7.521066,11.49957,4.127819,14.63052,6.157922
1.23765E+18,206.4854,6.686354,135.857,6.347059,12.9744,3.634952,56.1793,2.970202,98.174,3.110827,-1.461433,2.700974,232.5483,3.833831,72.24392,3.075648,208.4299,4.147236,29.40216,2.506924,39.10701,3.047964,132.0659,1.521577,1075.112,9.227303,398.3414,4.589421,205.2957,3.953959,147.8031,3.455216,16.78476,2.655211,347.2075,10.19119,221.9594,4.435204,0,0,1700.354,328.451,528.1885,271.5871,95.57641,39.297,444.4654,39.61092,647.0049,40.96643,59.70191,111.3323,27.14928,19.26527,57.70106,31.90874,1069.035,39.38501,344.8021,12.46362,985.1487,35.61034,83.59011,15.24012,129.8543,19.02443,414.5839,10.1164,3255.364,70.52961,1219.364,29.75411,616.4927,19.68373,455.7007,19.77968
1.23766E+18,32.58918,6.494057,61.07071,6.568407,3.096361,3.491488,6.535869,3.076725,12.49585,2.847475,-0.452374,2.922051,46.95291,3.02034,15.71354,2.991204,57.70082,3.483903,13.52666,2.163361,53.66282,2.670637,116.1931,1.425118,482.577,5.272648,350.4651,4.298481,118.3689,3.676786,99.94137,3.333203,13.59867,3.26913,91.86687,42.5983,54.77921,3.776764,0,0,197.1594,346.923,1260.745,676.6829,78.51264,46.53803,260.2405,92.07264,198.5317,44.49621,34.70719,29.61899,0,0,0,0,368.0854,39.45201,138.4548,14.62637,395.5853,41.78963,80.37644,21.69468,255.2111,21.87268,560.1467,10.37429,2229.1,41.15304,1647.49,30.51262,551.8293,28.64776,471.0563,36.65828
1.23766E+18,12.6958,3.939035,24.30787,4.03084,8.955876,2.829419,-0.626253,2.445712,3.18911,2.425898,2.031472,2.80695,7.456032,2.603733,10.44828,3.048045,23.67102,3.105011,1.733825,2.192477,9.898054,2.538379,13.91143,1.092255,23.31011,2.980142,41.96009,3.294488,18.04578,2.840221,10.53922,2.7912,-8.204915,3.286894,41.68599,68.17276,22.58333,3.340887,0,0,49.96596,1637.191,57.07441,2283.232,12.30501,7.209193,0,0,12.93279,12.06637,4.388629,13.40278,0,0,0,0,17.81469,9.199224,17.5255,3.686431,50.07286,10.53266,4.189301,7.909733,24.11224,10.12197,29.05801,3.602459,47.02517,8.982058,85.46474,10.59547,32.45118,9.6577,17.20122,7.744283
1.23766E+18,47.8113,8.686337,40.38269,8.567476,34.92902,4.381924,7.819233,4.184618,18.74503,4.122854,-5.053182,4.193614,31.50016,4.281516,33.74215,4.570335,126.1004,5.378213,2.847152,3.832264,45.49947,4.026548,38.9459,1.868957,113.2298,5.973576,117.4698,5.6372,39.8733,4.481185,35.43566,4.522319,-0.6073096,5.026722,81.3436,72.05308,136.9316,6.402356,0,0,11.60622,7670.753,260.5376,977.6846,71.08915,16.49865,21.12396,12.48925,68.31841,20.19028,0,0,0,0,0,0,97.75256,17.07771,106.2827,10.89812,303.665,31.13748,0,0,89.87648,13.21821,93.89236,6.112549,249.7471,23.78854,276.154,17.97808,70.47373,16.49198,70.8113,17.47621
1.23766E+18,163.9121,33.50548,473.0978,34.05761,20.52764,8.379572,17.86953,7.970529,57.21584,8.854924,12.79697,9.494484,79.67128,9.509748,14.26053,10.36334,142.4772,10.48087,-2.222558,11.30359,80.09422,11.60506,135.3159,4.758565,370.127,15.32371,408.1441,14.35292,211.5061,13.15662,125.3095,12.98033,-37.577,11.70597,640.6567,893.7552,140.9253,12.22316,0,0,0,0,1486.781,115.5696,0,0,32.61827,16.066,213.6076,39.98126,60.52755,30.83725,0,0,0,0,246.0417,34.50321,76.09925,10.46391,217.4264,29.89688,53.47973,27.29255,145.5073,34.30876,212.2232,14.45444,583.6005,37.39793,624.1859,42.51307,321.5122,54.84897,201.5485,48.35192
1.23765E+18,9.994995,3.733241,1.280292,3.651341,-0.2992639,2.583099,3.696782,4.327638,3.046233,4.769844,-0.5004595,2.480596,12.15449,4.510391,-7.281514,11.01927,5.475048,2.475798,-10.40538,3.396416,2.136038,1.741664,3.158098,0.8838672,18.53418,4.723089,9.525552,2.665945,2.793792,2.027546,4.42097,2.608744,-1.196948,3.873523,10.33079,8.663106,5.197323,1.694016,0,0,20.06637,6.374118,0,20.45489,0,0,1.259218,12.45922,4.105153,6.428034,3.932782,8.191229,2.086684,5.963042,5.976732,3.79781,6.737084,3.307896,0,0,5.392957,3.25127,0,0,0,0,2.86441,1.120989,14.01362,5.577799,8.424734,3.297027,0.804805,8.12961,2.637807,7.395452
1.23766E+18,66.28349,10.753,56.54665,10.93945,17.20088,4.755614,3.225267,4.564859,11.00442,4.912748,-5.213986,4.661184,30.49895,5.13667,6.957605,4.849689,59.36725,5.109928,-12.63145,4.836285,21.38732,4.653513,31.08909,1.914591,83.75163,6.721561,93.77188,5.774841,41.96424,5.164896,22.30012,5.385749,-7.309023,5.086409,120.0386,168.3829,59.2331,5.86499,0,0,68.81579,8.669202,75.39834,10.50438,9.119709,8.650528,3.65408,0,0,0,0,0,0,0,0,0,12.35065,8.193682,10.7968,2.25657,30.84799,6.447343,0.3147441,145.2652,14.03641,7.81891,18.6181,2.336717,40.93458,5.892199,54.75912,6.872698,25.955,5.45119,16.10512,9.324248
1.23766E+18,66.9584,6.078904,122.6658,6.410954,35.46316,4.238234,32.06108,3.22431,76.33078,3.353591,7.939077,3.46787,175.4285,3.924392,151.4796,4.175056,461.1313,6.420936,20.44961,2.444211,32.30217,2.897548,144.2307,1.729909,715.5175,7.579234,435.0331,5.217798,120.9129,3.745029,101.6239,4.194165,6.782273,3.247174,184.7833,15.79845,502.6728,6.877673,0,0,337.5902,125.6443,334.4201,116.1173,122.825,24.35784,100.5549,18.48508,234.0161,19.53476,0,0,17.02039,10.8835,0,0,478.0458,24.63681,453.3381,17.5562,1295.252,50.16056,59.90495,11.97864,57.24262,9.550833,328.3635,9.786992,1568.449,44.7511,965.7751,28.78527,238.2526,13.53708,200.3202,15.04285
1.23766E+18,7.638091,6.945912,28.26056,7.089549,8.883556,2.865267,3.289428,2.716838,0.7811769,2.636875,-4.901726,2.916036,15.41418,3.783058,4.484074,3.478945,35.79732,3.63238,1.806818,2.608063,18.84999,3.562757,17.02987,1.757521,67.62135,5.88167,51.366,5.301084,5.590098,5.234499,10.72629,3.786939,0.05501181,4.315582,35.22286,49.86988,40.31671,4.471343,3.772566,19.45516,18.52974,73231.79,61.15971,56157.46,14.77824,7.589263,0,0,0,0,0,0,0,0,6.287815,4.095447,27.36493,9.581103,17.82246,2.996736,50.92131,8.562103,3.673568,3.499961,40.79053,10.98819,22.78903,4.127802,89.3755,12.2749,67.02655,12.14059,10.4134,38.89747,8.686472,28.29351
