,name,ra ,dec
1,1237660000000000000.00,1.171825,0.119798
3,1237680000000000000.00,5.721582,1.265708
5,1237660000000000000.00,11.019462,1.031333
7,1237650000000000000.00,13.302866,-8.802706
9,1237650000000000000.00,13.374656,-8.767788
11,1237660000000000000.00,13.870178,0.581282
13,1237660000000000000.00,14.087481,-1.176635
15,1237660000000000000.00,14.095168,-1.209748
17,1237680000000000000.00,14.106606,-1.262474
19,1237660000000000000.00,14.237088,-1.21183
21,1237670000000000000.00,16.877012,14.206061
23,1237660000000000000.00,17.463932,0.04618
25,1237670000000000000.00,17.513188,13.978117
27,1237660000000000000.00,18.157969,0.086316
29,1237660000000000000.00,18.202533,-0.290186
31,1237650000000000000.00,24.318654,-8.564771
33,1237660000000000000.00,28.284555,1.030749
35,1237680000000000000.00,28.313523,1.039092
37,1237650000000000000.00,35.960623,-8.397103
39,1237660000000000000.00,36.843283,0.610814
41,1237660000000000000.00,36.907969,0.506363
43,1237660000000000000.00,37.337297,0.593825
45,1237660000000000000.00,37.379388,0.589676
47,1237670000000000000.00,37.823537,-7.582218
49,1237650000000000000.00,40.471315,-8.206297
51,1237660000000000000.00,45.954639,-1.103732
53,1237660000000000000.00,49.179073,41.324907
55,1237660000000000000.00,49.249011,41.356596
57,1237660000000000000.00,49.462871,41.450812
59,1237660000000000000.00,49.575015,41.675328
61,1237660000000000000.00,50.240836,41.506344
63,1237660000000000000.00,50.241298,41.893855
65,1237660000000000000.00,50.251707,41.562451
67,1237660000000000000.00,50.336818,41.46005
69,1237660000000000000.00,50.46454,41.797261
71,1237650000000000000.00,54.107627,-6.80986
73,1237660000000000000.00,114.1302,43.799132
75,1237660000000000000.00,117.0471,18.496173
77,1237670000000000000.00,119.12673,41.03624
79,1237650000000000000.00,120.84038,39.41584
81,1237660000000000000.00,121.12144,23.912266
83,1237660000000000000.00,121.23152,24.190118
85,1237670000000000000.00,121.6367,15.262222
87,1237660000000000000.00,126.12095,38.016333
89,1237660000000000000.00,126.13889,38.003656
91,1237660000000000000.00,126.18036,29.989878
93,1237660000000000000.00,126.23036,29.941365
95,1237660000000000000.00,126.23489,37.889233
97,1237660000000000000.00,127.58177,26.869447
99,1237670000000000000.00,128.58804,14.356497
101,1237660000000000000.00,129.95383,32.53141
103,1237660000000000000.00,130.24226,38.550084
105,1237650000000000000.00,130.40782,54.918507
107,1237660000000000000.00,131.21096,43.04681
109,1237660000000000000.00,131.23597,42.976577
111,1237660000000000000.00,135.12932,39.246997
113,1237670000000000000.00,135.15356,20.894552
115,1237670000000000000.00,135.22118,20.914806
117,1237660000000000000.00,135.49332,60.151709
119,1237660000000000000.00,137.87486,45.468319
121,1237650000000000000.00,137.93873,52.890539
123,1237650000000000000.00,138.74869,4.530019
125,1237660000000000000.00,139.15225,30.297038
127,1237660000000000000.00,139.28444,29.371014
129,1237660000000000000.00,139.29971,30.449223
131,1237660000000000000.00,139.59814,30.543191
133,1237650000000000000.00,139.92978,1.252122
135,1237650000000000000.00,139.97995,0.945119
137,1237650000000000000.00,140.00904,1.038274
139,1237660000000000000.00,140.54896,6.516504
141,1237660000000000000.00,140.59633,50.774698
