name,lgm_tot_p50,sfr_tot_p50
1237660000000000000.00,10.60,-0.16
1237680000000000000.00,-9999.00,0.54
1237660000000000000.00,11.14,-0.74
1237650000000000000.00,10.62,0.28
1237650000000000000.00,10.57,0.23
1237660000000000000.00,10.11,-9999.00
1237660000000000000.00,10.89,-1.26
1237660000000000000.00,11.39,-0.92
1237680000000000000.00,10.97,-9999.00
1237660000000000000.00,10.73,0.90
1237670000000000000.00,11.09,-0.01
1237660000000000000.00,10.62,0.42
1237670000000000000.00,11.40,-0.19
1237660000000000000.00,10.68,-1.79
1237660000000000000.00,10.87,-0.43
1237650000000000000.00,10.70,0.60
1237660000000000000.00,10.91,-1.15
1237680000000000000.00,11.46,-0.36
1237650000000000000.00,11.37,0.63
1237660000000000000.00,10.72,-9999.00
1237660000000000000.00,10.29,0.71
1237660000000000000.00,11.43,-0.57
1237660000000000000.00,10.97,-0.51
1237670000000000000.00,10.52,0.21
1237650000000000000.00,11.19,-1.14
1237660000000000000.00,10.88,-1.71
1237660000000000000.00,11.18,0.06
1237660000000000000.00,10.79,-1.31
1237660000000000000.00,10.56,-1.78
1237660000000000000.00,10.43,0.08
1237660000000000000.00,10.62,-2.14
1237660000000000000.00,10.80,-1.87
1237660000000000000.00,10.49,-2.00
1237660000000000000.00,10.64,-1.76
1237660000000000000.00,10.45,-1.59
1237650000000000000.00,10.86,-1.37
1237660000000000000.00,10.92,0.40
1237660000000000000.00,11.08,-0.67
1237670000000000000.00,11.26,-0.68
1237650000000000000.00,10.65,0.30
1237660000000000000.00,10.54,-1.10
1237660000000000000.00,10.92,1.34
1237670000000000000.00,11.41,-0.49
1237660000000000000.00,11.07,-1.07
1237660000000000000.00,10.93,1.32
1237660000000000000.00,9.82,-0.07
1237660000000000000.00,10.29,0.17
1237660000000000000.00,11.35,0.57
1237660000000000000.00,10.91,0.79
1237670000000000000.00,11.10,-0.20
1237660000000000000.00,11.29,0.62
1237660000000000000.00,10.72,1.42
1237650000000000000.00,10.68,-0.15
1237660000000000000.00,11.36,-1.18
1237660000000000000.00,11.42,-1.05
1237660000000000000.00,10.52,0.36
1237670000000000000.00,11.26,0.85
1237670000000000000.00,9.96,0.52
1237660000000000000.00,10.11,-0.03
1237660000000000000.00,10.70,0.35
1237650000000000000.00,11.11,-0.36
1237650000000000000.00,11.09,0.57
1237660000000000000.00,10.66,0.58
1237660000000000000.00,10.69,0.53
1237660000000000000.00,11.16,-0.95
1237660000000000000.00,11.26,-1.12
1237650000000000000.00,10.72,0.52
1237650000000000000.00,10.42,-1.81
1237650000000000000.00,10.97,-1.62
1237660000000000000.00,10.90,0.31
1237660000000000000.00,8.97,-0.46
1237660000000000000.00,11.13,-0.31
1237660000000000000.00,11.27,-1.22
1237670000000000000.00,11.20,-0.45
1237650000000000000.00,11.05,-0.45
1237650000000000000.00,11.04,-0.02
1237650000000000000.00,8.77,-0.73
1237660000000000000.00,10.32,0.59
1237660000000000000.00,10.93,1.08
1237670000000000000.00,10.28,0.36
1237650000000000000.00,10.70,0.20
1237670000000000000.00,10.37,-0.08
1237650000000000000.00,10.76,-1.53
1237650000000000000.00,10.41,-1.68
1237650000000000000.00,10.79,-0.70
1237650000000000000.00,10.86,-1.41
1237650000000000000.00,11.51,-1.14
1237650000000000000.00,10.93,-1.33
1237650000000000000.00,10.77,0.50
1237650000000000000.00,10.82,0.29
1237650000000000000.00,11.28,-1.07
1237660000000000000.00,11.51,-0.86
1237660000000000000.00,10.54,-0.87
1237660000000000000.00,10.68,-0.06
1237660000000000000.00,10.70,-1.15
1237660000000000000.00,10.82,0.38
1237670000000000000.00,11.69,1.23
1237650000000000000.00,11.06,-1.46
1237660000000000000.00,10.28,0.14
1237650000000000000.00,10.86,0.18
1237650000000000000.00,11.00,1.31
1237650000000000000.00,10.32,0.59
1237660000000000000.00,10.21,-1.32
1237660000000000000.00,10.60,0.37
1237660000000000000.00,12.43,0.95
1237660000000000000.00,10.77,0.25
1237670000000000000.00,11.76,-0.83
1237660000000000000.00,10.87,0.70
1237660000000000000.00,10.73,0.73
1237660000000000000.00,11.15,-0.85
1237650000000000000.00,10.51,-0.72
1237650000000000000.00,10.93,-0.24
1237650000000000000.00,10.61,-0.94
1237660000000000000.00,11.12,0.03
1237670000000000000.00,11.51,-0.73
1237670000000000000.00,11.19,1.18
1237660000000000000.00,11.05,-1.45
1237670000000000000.00,11.42,-0.26
1237660000000000000.00,10.73,0.25
1237660000000000000.00,11.28,0.23
1237660000000000000.00,11.06,-0.82
1237650000000000000.00,11.04,0.87
1237660000000000000.00,10.85,0.66
1237670000000000000.00,11.43,0.69
1237670000000000000.00,10.74,-0.93
1237670000000000000.00,10.91,-1.41
1237660000000000000.00,10.08,-0.75
1237660000000000000.00,10.99,-1.45
1237660000000000000.00,11.36,-0.86
1237660000000000000.00,11.06,-1.50
1237660000000000000.00,10.53,-0.21
1237660000000000000.00,10.64,-0.70
1237670000000000000.00,10.05,-1.71
1237670000000000000.00,10.66,0.40
1237670000000000000.00,10.02,0.14
1237670000000000000.00,10.85,-9999.00
1237670000000000000.00,10.75,-1.27
1237670000000000000.00,10.98,-1.14
1237670000000000000.00,10.42,-1.65
1237670000000000000.00,10.65,-1.71
1237670000000000000.00,10.73,-0.82
1237650000000000000.00,11.20,-0.74
